iter	RMSE
0	1.379363232
1	1.283560689
2	1.208454132
3	1.130850012
4	1.073174824
5	1.022095429
6	0.9688230251
7	0.9218289247
8	0.8768943413
9	0.8312076298
10	0.7956844837
11	0.7598031786
12	0.7217374297
13	0.6960284465
14	0.6681160966
15	0.6369269358
16	0.6075642641
17	0.5910419532
18	0.5772618963
19	0.5639852687
20	0.5420845871
21	0.5335714382
22	0.5167409949
23	0.5088365594
24	0.4962601092
25	0.4839199973
26	0.4725143695
27	0.4663807462
28	0.4597089564
29	0.4543399408
30	0.4467208213
31	0.4417799328
32	0.4311075953
33	0.4277218835
34	0.4204778661
35	0.4102223663
36	0.4014221839
37	0.3981144814
38	0.3933431559
39	0.3892879864
40	0.3869039216
41	0.3850521145
42	0.3811775948
43	0.3786289196
44	0.3752137205
45	0.3722641229
46	0.3703732874
47	0.3654112817
48	0.3634506224
49	0.3610661678
50	0.3574728844
51	0.3533068058
52	0.3517734947
53	0.3493524603
54	0.3478518893
55	0.3463263404
56	0.3448244353
57	0.3431644777
58	0.3394904389
59	0.338481072
60	0.3370687993
61	0.3356089342
62	0.3338245389
63	0.3322176414
64	0.3312906823
65	0.330031824
66	0.329132954
67	0.3277273793
68	0.3255518118
69	0.3241991232
70	0.3230165134
71	0.322340097
72	0.3209913425
73	0.3185847369
74	0.3174914488
75	0.3164830101
76	0.3154374179
77	0.3144997461
78	0.3137935715
79	0.3127543132
80	0.3114750511
81	0.3092471483
82	0.3080817921
83	0.3058996524
84	0.3049085346
85	0.3042935276
86	0.3031965908
87	0.3023311075
88	0.3012933025
89	0.3003231004
90	0.2997759776
91	0.2988692206
92	0.2980245379
93	0.2970115923
94	0.2958465377
95	0.2948657351
96	0.2937243691
97	0.2930734709
98	0.2923747455
99	0.2915910144
100	0.2909194099
101	0.2902375495
102	0.2897320044
103	0.2889493112
104	0.2881388392
105	0.2874089165
106	0.2862583288
107	0.2856643047
108	0.2851593377
109	0.2845942724
110	0.2838604219
111	0.2832995934
112	0.2828048367
113	0.282266051
114	0.2814653298
115	0.2805289313
116	0.2796167262
117	0.2787280338
118	0.2782575067
119	0.2774909827
120	0.2769355321
121	0.2764546741
122	0.2758313416
123	0.2750280504
124	0.274572299
125	0.2740828283
126	0.2736155329
127	0.2730534214
128	0.2725808392
129	0.2720768986
130	0.271728212
131	0.2710223203
132	0.2703234098
133	0.2699743966
134	0.2694536943
135	0.2685726683
136	0.2680788279
137	0.2673905562
138	0.2669757411
139	0.2665992522
140	0.2662903789
141	0.2659090752
142	0.2656294865
143	0.2652601279
144	0.2648000903
145	0.2644297702
146	0.2641421157
147	0.2637701796
148	0.2633156834
149	0.2628320916
150	0.2624669734
151	0.2619494746
152	0.2613949409
153	0.261048447
154	0.2605702931
155	0.2600473888
156	0.2596692606
157	0.2591120822
158	0.2587689687
159	0.2583256257
160	0.2578207627
161	0.2577323863
162	0.2571936418
163	0.2567943999
164	0.2563142241
165	0.255822433
166	0.2554795071
167	0.2553936896
168	0.2550740808
169	0.2545764579
170	0.2540269455
171	0.253671948
172	0.2532495001
173	0.2528747256
174	0.2525110259
175	0.252427412
176	0.2521179369
177	0.251888686
178	0.2515444621
179	0.2513991156
180	0.2510147997
181	0.2506706581
182	0.2504018666
183	0.2503477251
184	0.2497442086
185	0.2492460474
186	0.2490345094
187	0.2489758974
188	0.2486847087
189	0.2484208769
190	0.2480575855
191	0.247699236
192	0.2473054089
193	0.2471424694
194	0.2468758356
195	0.2463601947
196	0.2460356379
197	0.2452776358
198	0.2451229568
199	0.244598744
200	0.2442557407
201	0.2438345419
202	0.2434325059
203	0.2434317849
204	0.2429415924
205	0.2427655655
206	0.2424690132
207	0.2422376248
208	0.2419121139
209	0.2417842709
210	0.2414379973
211	0.2411270991
212	0.2407766452
213	0.2404648906
214	0.2404642211
215	0.24022602
216	0.2401243132
217	0.2397396139
218	0.2392622908
219	0.238711261
220	0.2383754181
221	0.2383748593
222	0.2380770269
223	0.2375454683
224	0.2370568199
225	0.2369052013
226	0.2363497411
227	0.2360055225
228	0.2360049909
229	0.2358006138
230	0.235463333
231	0.2351345489
232	0.2346991742
233	0.2346981298
234	0.2345699321
235	0.234311447
236	0.2339209522
237	0.233732547
238	0.2333537419
239	0.23306039
240	0.2328278504
241	0.2325521289
242	0.2323146122
243	0.2319647765
244	0.2318915411
245	0.2317937463
246	0.2314214135
247	0.2312257792
248	0.2312252986
249	0.2310054725
250	0.2308674125
251	0.2305962127
252	0.2302861896
253	0.2299764807
254	0.229646657
255	0.2294253789
256	0.2290302308
257	0.2287636985
258	0.2284241292
259	0.2281300278
260	0.2277805411
261	0.2276396753
262	0.2274234829
263	0.2274230754
264	0.2272019324
265	0.22694662
266	0.2267628928
267	0.2262414447
268	0.226147836
269	0.2260056569
270	0.2258620347
271	0.2255912929
272	0.2253319626
273	0.2247652586
274	0.2247133797
