iter	Passed	Remaining
0	7	2052
1	15	2060
2	21	1990
3	29	1993
4	37	2050
5	44	1999
6	52	2027
7	60	2030
8	69	2056
9	76	2014
10	83	2002
11	90	1976
12	96	1951
13	104	1939
14	110	1914
15	118	1915
16	124	1894
17	132	1888
18	138	1869
19	145	1858
20	152	1846
21	155	1785
22	162	1778
23	169	1774
24	176	1767
25	183	1761
26	190	1750
27	197	1743
28	204	1736
29	212	1735
30	219	1730
31	227	1726
32	235	1726
33	242	1720
34	250	1716
35	257	1709
36	265	1709
37	274	1709
38	282	1711
39	291	1710
40	299	1709
41	306	1699
42	315	1700
43	322	1690
44	329	1685
45	337	1679
46	345	1676
47	352	1668
48	361	1665
49	368	1657
50	376	1651
51	383	1644
52	391	1639
53	398	1632
54	407	1629
55	415	1624
56	422	1617
57	430	1609
58	438	1603
59	446	1600
60	453	1592
61	462	1587
62	469	1578
63	477	1574
64	485	1567
65	493	1561
66	500	1554
67	508	1549
68	516	1541
69	524	1536
70	532	1529
71	540	1523
72	548	1517
73	556	1511
74	563	1502
75	570	1494
76	577	1486
77	585	1478
78	592	1469
79	599	1460
80	606	1453
81	613	1444
82	621	1436
83	627	1427
84	635	1419
85	641	1410
86	648	1401
87	656	1394
88	662	1385
89	669	1376
90	676	1367
91	683	1359
92	690	1350
93	696	1342
94	704	1334
95	711	1325
96	718	1318
97	724	1309
98	732	1301
99	738	1292
100	745	1284
101	752	1277
102	759	1268
103	767	1261
104	773	1252
105	780	1245
106	787	1236
107	794	1228
108	802	1221
109	808	1212
110	816	1205
111	822	1197
112	829	1189
113	835	1180
114	842	1172
115	849	1165
116	856	1156
117	863	1148
118	870	1141
119	878	1134
120	884	1126
121	891	1117
122	898	1110
123	904	1102
124	911	1094
125	918	1085
126	924	1077
127	931	1070
128	938	1062
129	945	1054
130	951	1046
131	957	1037
132	965	1030
133	972	1022
134	980	1016
135	987	1009
136	995	1002
137	1008	1001
138	1026	1004
139	1043	1006
140	1058	1006
141	1066	998
142	1074	991
143	1083	985
144	1092	979
145	1101	972
146	1108	965
147	1116	957
148	1123	950
149	1130	942
150	1138	934
151	1145	926
152	1152	918
153	1159	910
154	1166	903
155	1173	895
156	1180	887
157	1187	879
158	1193	871
159	1201	863
160	1208	855
161	1214	847
162	1221	839
163	1228	831
164	1235	823
165	1242	816
166	1249	807
167	1256	800
168	1263	792
169	1270	784
170	1276	776
171	1283	768
172	1290	760
173	1297	752
174	1304	745
175	1310	737
176	1318	729
177	1324	722
178	1331	714
179	1339	706
180	1346	699
181	1353	691
182	1359	683
183	1366	675
184	1373	667
185	1379	660
186	1386	652
187	1393	644
188	1399	637
189	1406	629
190	1413	621
191	1419	613
192	1426	606
193	1433	598
194	1439	590
195	1445	582
196	1452	575
197	1458	567
198	1465	559
199	1472	552
200	1478	544
201	1485	536
202	1492	529
203	1495	520
204	1501	512
205	1508	505
206	1516	498
207	1523	490
208	1529	483
209	1536	475
210	1543	468
211	1550	460
212	1557	453
213	1566	446
214	1568	437
215	1575	430
216	1582	423
217	1589	415
218	1597	408
219	1604	401
220	1611	393
221	1614	385
222	1620	377
223	1627	370
224	1634	363
225	1641	355
226	1648	348
227	1655	341
228	1657	333
229	1664	325
230	1670	318
231	1677	310
232	1684	303
233	1686	295
234	1693	288
235	1699	280
236	1707	273
237	1714	266
238	1720	259
239	1728	252
240	1734	244
241	1741	237
242	1749	230
243	1755	223
244	1762	215
245	1769	208
246	1776	201
247	1783	194
248	1786	186
249	1792	179
250	1799	172
251	1805	164
252	1812	157
253	1818	150
254	1825	143
255	1831	135
256	1838	128
257	1844	121
258	1851	114
259	1858	107
260	1864	100
261	1871	92
262	1877	85
263	1879	78
264	1886	71
265	1892	64
266	1899	56
267	1906	49
268	1912	42
269	1919	35
270	1925	28
271	1932	21
272	1939	14
273	1945	7
274	1952	0
